                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8451,                 5.4191,                 3.5696,                0.92973,                0.02155,                0.01891,                0.00917,                0.00248,                0.00084,                  0.001,                0.00042,                 0.0002,                 4.2511,                 4.8435,                    inf,                0.83048,             0.00065409,             0.00065409,             0.00065409
                      2,                  3.801,                 4.5485,                 2.2796,                0.86513,                   0.01,                0.01249,                0.00512,                 0.0014,                 0.0066,                0.00825,                0.00336,                0.00274,                 4.2238,                  46.94,                    inf,                0.91049,                0.00119,                0.00119,                0.00119
                      3,                 3.8079,                 4.5983,                 2.2951,                0.84865,                0.02714,                0.03286,                0.01404,                0.00385,                0.01494,                0.01141,                0.00518,                0.00455,                 3.9252,                    nan,                    nan,                0.82602,              0.0015939,              0.0015939,              0.0015939
                      4,                 3.8096,                 4.5728,                 2.2503,                0.84268,                0.02714,                0.03286,                0.01404,                0.00385,                0.01494,                0.01141,                0.00518,                0.00455,                 3.8629,                 196.28,                    inf,                0.71979,               0.001406,               0.001406,               0.001406
                      5,                 3.8423,                 4.5346,                 2.3438,                0.84233,                0.00183,                0.00229,                0.00094,                0.00027,                      0,                      0,                      0,                      0,                 4.0816,                 26.063,                 54.426,                0.67783,               0.001208,               0.001208,               0.001208
                      6,                 3.7689,                 4.4604,                 2.3016,                0.83814,                 0.1174,                0.02861,                0.02619,                0.00823,                0.00447,                0.00558,                0.00228,                0.00209,                 3.8696,                 4.9009,                 2.6819,                  0.811,                0.00101,                0.00101,                0.00101
                      7,                 3.6998,                 4.4613,                 2.1837,                0.83932,                0.15989,                0.03265,                0.03196,                0.00859,                0.01561,                0.00541,                0.00269,                0.00241,                 3.5296,                 4.7263,                 2.1419,                0.83167,               0.000812,               0.000812,               0.000812
                      8,                 3.6653,                  4.458,                 2.1623,                0.82933,                0.13692,                 0.0351,                0.02983,                0.00782,                0.05785,                 0.0197,                0.01124,                0.00997,                 3.6109,                 4.7557,                 2.4067,                0.82985,               0.000614,               0.000614,               0.000614
                      9,                 3.6217,                 4.3312,                 2.1359,                0.83402,                0.17414,                0.03534,                0.03185,                0.00847,                0.05416,                0.02015,                0.01132,                0.01014,                 3.5913,                 4.7563,                 2.1242,                0.82462,               0.000416,               0.000416,               0.000416
                     10,                 3.6078,                 4.3835,                  2.108,                0.82751,                0.14158,                0.03852,                0.03285,                0.00886,                0.02482,                0.00783,                0.00432,                0.00384,                 3.5204,                 4.6956,                 2.4532,                 0.8258,               0.000218,               0.000218,               0.000218
